transcript	#geneID
RNA874	gene435
RNA875	gene436
RNA877	gene437
RNA878	gene438
RNA879	gene438
RNA880	gene439
RNA881	gene440
RNA882	gene441
RNA884	gene443
RNA885	gene444
RNA886	gene445
RNA887	gene445
RNA888	gene446
RNA889	gene447
RNA890	gene448
RNA891	gene449
RNA893	gene450
RNA894	gene451
RNA897	gene452
RNA898	gene452
RNA899	gene452
RNA900	gene452
RNA901	gene452
RNA902	gene452
RNA903	gene452
RNA904	gene453
RNA905	gene453
RNA906	gene453
RNA908	gene454
RNA909	gene455
RNA910	gene456
RNA911	gene456
RNA912	gene456
RNA914	gene457
RNA915	gene457
RNA916	gene457
RNA917	gene458
RNA923	gene459
RNA925	gene460
RNA927	gene461
RNA928	gene462
RNA929	gene463
RNA930	gene463
RNA931	gene464
RNA932	gene465
RNA933	gene466
RNA934	gene466
RNA935	gene466
RNA936	gene466
RNA938	gene466
RNA939	gene466
RNA940	gene466
RNA943	gene466
RNA944	gene467
RNA945	gene467
RNA950	gene468
RNA951	gene468
RNA954	gene469
RNA956	gene470
RNA957	gene471
RNA958	gene472
RNA959	gene473
RNA960	gene474
RNA961	gene475
RNA962	gene476
RNA963	gene477
RNA964	gene478
RNA965	gene478
RNA966	gene479
RNA967	gene479
RNA968	gene479
RNA969	gene479
RNA971	gene479
RNA972	gene479
RNA973	gene479
RNA974	gene479
RNA975	gene479
RNA976	gene479
RNA977	gene479
RNA978	gene479
RNA979	gene479
RNA980	gene479
RNA983	gene482
RNA986	gene484
RNA987	gene485
RNA988	gene486
RNA989	gene486
RNA990	gene487
RNA992	gene487
RNA995	gene488
RNA996	gene489
RNA997	gene490
RNA998	gene491
RNA1000	gene492
RNA1001	gene493
RNA1002	gene493
RNA1004	gene494
RNA1005	gene494
RNA1006	gene495
RNA1007	gene496
RNA1008	gene496
RNA1010	gene496
RNA1011	gene496
RNA1012	gene496
RNA1013	gene497
RNA1014	gene498
RNA1015	gene499
RNA1016	gene499
RNA1017	gene499
RNA1018	gene499
RNA1019	gene499
RNA1020	gene499
RNA1021	gene499
RNA1022	gene499
RNA1023	gene499
RNA1024	gene499
RNA1027	gene501
RNA1028	gene502
RNA1029	gene502
RNA1030	gene502
RNA1031	gene503
RNA1032	gene503
RNA1041	gene505
RNA1042	gene505
RNA1033	gene504
RNA1034	gene504
RNA1035	gene504
RNA1036	gene504
RNA1037	gene504
RNA1038	gene504
RNA1039	gene504
RNA1040	gene504
RNA1043	gene506
RNA1044	gene507
RNA1045	gene507
RNA1051	gene509
RNA1052	gene509
RNA1053	gene509
RNA1054	gene510
RNA1055	gene511
RNA1062	gene511
RNA1063	gene511
RNA1064	gene511
RNA1066	gene512
RNA1067	gene512
RNA1068	gene513
RNA1069	gene514
RNA1070	gene515
RNA1074	gene516
RNA1075	gene517
RNA1076	gene518
RNA1077	gene519
RNA1079	gene520
RNA1080	gene521
RNA1084	gene522
RNA1085	gene523
RNA1086	gene523
RNA1088	gene524
RNA1090	gene526
RNA1091	gene526
RNA1092	gene526
RNA1093	gene526
RNA1094	gene526
RNA1095	gene527
RNA1096	gene528
RNA1097	gene528
RNA1098	gene529
RNA1102	gene531
RNA1103	gene532
RNA1099	gene530
RNA1100	gene530
RNA1104	gene533
RNA1105	gene534
RNA1106	gene535
RNA1108	gene535
RNA1109	gene535
RNA1110	gene535
RNA1111	gene535
RNA1112	gene535
RNA1113	gene536
RNA1114	gene536
RNA1115	gene537
RNA1117	gene537
RNA1118	gene537
RNA1119	gene538
RNA1120	gene539
RNA1121	gene539
RNA1122	gene540
